y,u
0.94994995,0.00793293
0.95095095,0.00777554
0.95195195,0.00761807
0.95295295,0.00746053
0.95395395,0.00730292
0.95495495,0.00714523
0.95595596,0.00698748
0.95695696,0.00682965
0.95795796,0.00667176
0.95895896,0.00651380
0.95995996,0.00635578
0.96096096,0.00619769
0.96196196,0.00603954
0.96296296,0.00588133
0.96396396,0.00572307
0.96496496,0.00556475
0.96596597,0.00540637
0.96696697,0.00524794
0.96796797,0.00508945
0.96896897,0.00493092
0.96996997,0.00477234
0.97097097,0.00461371
0.97197197,0.00445504
0.97297297,0.00429632
0.97397397,0.00413756
0.97497497,0.00397875
0.97597598,0.00381991
0.97697698,0.00366103
0.97797798,0.00350212
0.97897898,0.00334317
0.97997998,0.00318418
0.98098098,0.00302517
0.98198198,0.00286612
0.98298298,0.00270705
0.98398398,0.00254795
0.98498498,0.00238883
0.98598599,0.00222968
0.98698699,0.00207051
0.98798799,0.00191132
0.98898899,0.00175211
0.98998999,0.00159288
0.99099099,0.00143364
0.99199199,0.00127438
0.99299299,0.00111511
0.99399399,0.00095583
0.99499499,0.00079654
0.99599600,0.00063724
0.99699700,0.00047794
0.99799800,0.00031863
0.99899900,0.00015931
1.00000000,0.00000000
